"id","summary_title","coords","lat","lng","URI","apiURI"
"term-116366","Wivenhoe","51.8644,0.9627","51.8644","0.9627","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116366","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116366"
"term-116367","Witham","51.802,0.6384","51.802","0.6384","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116367","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116367"
"term-116368","Cirencester","51.7167,-1.9984","51.7167","-1.9984","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116368","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116368"
"term-116369","Dursley","51.6814,-2.3532","51.6814","-2.3532","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116369","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116369"
"term-116370","Edgeworth","40.5512,-80.1928","40.5512","-80.1928","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116370","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116370"
"term-116371","Tetbury","51.6393,-2.1595","51.6393","-2.1595","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116371","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116371"
"term-116372","Tewkesbury","51.9925,-2.156","51.9925","-2.156","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116372","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116372"
"term-116373","Thornbury","50.8513,-4.2847","50.8513","-4.2847","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116373","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116373"
"term-116374","Andover","45.2333,-93.2913","45.2333","-93.2913","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116374","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116374"
"term-116375","Blackwater","38.9803,-92.9908","38.9803","-92.9908","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116375","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116375"
"term-116377","Petersfield","51.0025,-0.9392","51.0025","-0.9392","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116377","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116377"
"term-116378","Romsey","50.9933,-1.4895","50.9933","-1.4895","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116378","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116378"
"term-116379","Titchfield","50.849,-1.2354","50.849","-1.2354","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116379","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116379"
