"id","summary_title","publicationPlace","publicationDate","URI","apiURI"
"publication-200002867","Visual Culture as Historical Document: Sir John Drummond Hay and the Nineteenth-Century Moroccan Pottery in the National Museum of Scotland","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002867","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002867"
"publication-200002868","Work of Walter Crane","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002868","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002868"
"publication-200002869","Parsing Piety: the sacred still life in Roman Relief Sculpture","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002869","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002869"
"publication-200002871","Pesasants on porcelain : Sèvres and the taste for Teniers","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002871","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002871"
"publication-200002872","Sèvres enamelled porcelain: eight dies (and a quarrel) rediscovered","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002872","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002872"
"publication-200002873","Terra Lemnia and the Potteries of the Golden Hoard: An Antique Revival under Ottoman Auspices","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002873","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002873"
"publication-200002874","Le décor oiseaux colorés à Vincennes et à Sèvres","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002874","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002874"
"publication-200002875","Un céramiste de légende: Palissy à Sèvres","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002875","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002875"
"publication-200002876","Dewar, Sir James (1842-1923)","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002876","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002876"
"publication-200002877","Jean Voyez","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002877","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002877"
"publication-200002879","The Origin of English Silver Lustre","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002879","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002879"
"publication-200002880","Bristol potters and potteries 1600-1800","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002880","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002880"
"publication-200002881","Last of the Great Kings","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002881","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002881"
"publication-200002883","Vicende di un dipinto di Giovanni Maria Morandi per il Duomo di Siena","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002883","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002883"
"publication-200002884","William Greatbatch and the Early Wedgwood Wares","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002884","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002884"
"publication-200002886","Lambeth earthenware","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002886","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002886"
"publication-200002887","William Morris’s Designs for Stained Glass","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002887","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002887"
"publication-200002888","Election Winners","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002888","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002888"
"publication-200002889","The Lost Collection of Enoch Wood","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002889","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002889"
"publication-200002890","(W***) and Mansfield Considered","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002890","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002890"
"publication-200002891","The Salopian Porcelain manufactory at Caughley. A history based on contemporary documents","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002891","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002891"
"publication-200002892","Linthorpe Pottery: an interim repor","Middlesborough","1970","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002892","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002892"
"publication-200002893","English Pottery in 1696: An Unpublished Document","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002893","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002893"
"publication-200002895","Pottery Kiln Waste from Temple Back, Bristol","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002895","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002895"
"publication-200002897","The new display of British glass at the Fitzwilliam Museum","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002897","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002897"
"publication-200002898","Some finds of pottery at Vauxhall Cross, London","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002898","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002898"
"publication-200002899","Is there a Sloping Neck Canister Factory? - An Update","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002899","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002899"
"publication-200002900","Nicholas Crisp and the Elizabeth Canning Scandal with new findings on Dr Anthony Supply and John Offley","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002900","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002900"
"publication-200002901","Some notes on English delft","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002901","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002901"
"publication-200002902","French influences on the decoration of English delftware","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002902","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002902"
"publication-200002903","Bernard Palissy and London delftware","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002903","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002903"
