"id","summary_title","venue","venueURI","venueAPIURI","venueID","earliestDate","latestDate","URI","apiURI"
"exhibition-657","70th Exhibition","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1924","1924","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-657","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-657"
"exhibition-658","Irish portraits, 1660-1860","Dublin","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107997","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107997","term-107997","1969","1970","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-658","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-658"
"exhibition-659","John Hubbard","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1967","1912","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-659","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-659"
"exhibition-66","Old Masters (1894)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1894","1894","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-66","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-66"
"exhibition-660","John Hubbard - drawings 1958-69","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1969","1905","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-660","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-660"
"exhibition-661","(Fitzwilliam Museum, 1921-4)","Cambridge (Cambs.)","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106176","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106176","term-106176","1921","1924","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-661","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-661"
"exhibition-662","(U.S.A., 1857-8)","New York","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106544","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106544","term-106544","1857","1858","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-662","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-662"
"exhibition-664","Arthur Hughes, The Last Pre-Raphaelite","Richmond (Surrey)","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-124431","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-124431","term-124431","1998","1999","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-664","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-664"
"exhibition-666","William Holman Hunt","Liverpool","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106944","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106944","term-106944","1969","1969","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-666","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-666"
"exhibition-667","London and the Great Painters","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1971","1971","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-667","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-667"
