"id","summary_title","description","created","modified","URI","apiURI","parentTitle","parentURI","parentAPIURI","relatedTitle","relatedURI","relatedAPIURI"
"term-139124","1140s","NULL","1630972800000","1631011755000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139124","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139124","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139240","1480s","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139240","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139240","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139241","260s-270s","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139241","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139241","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139242","268-270s","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139242","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139242","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139243","270s","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139243","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139243","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139244","20th century?","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139244","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139244","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139245","mid 11th century","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139245","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139245","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139246","2nd-early 3rd century AD","NULL","1631145600000","1631194343000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139246","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139246","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139247","1980s/early 1990s?","NULL","1.631232e+12","1631265462000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139247","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139247","NULL","NULL","NULL","NULL","NULL","NULL"
"term-139256","late 20th - early 21st Century","NULL","1.631664e+12","1631717087000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-139256","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-139256","NULL","NULL","NULL","NULL","NULL","NULL"
